week,pac,cr_box,baghouse,repurposed_pac,repurposed_cr_box,repurposed_baghouse
1,0.0,0.0,0.0,0.0,0.0,0.0
2,19859721.582681596,165171052.28759873,4877530.848548958,0.0,0.0,0.0
3,106383533.24146011,887698768.8996518,26174070.735817984,102113125.46829109,60831696.676291734,20968109.754991278
4,199824336.90554655,1677225515.8499427,48866893.81651923,204226250.93658218,121663393.35258347,41936219.509982556
5,238577265.46420112,2035842417.0014267,59030876.3354809,306339376.40487325,182495090.0288752,62904329.26497384
6,284790515.3854518,2445449641.1239176,71467899.19474214,408452501.87316436,243326786.70516694,83872439.01996511
7,341250383.58426857,2905197860.318531,85313315.32992008,510565627.3414556,304158483.38145864,83872439.01996511
8,403449877.92422163,3436807937.429736,101111156.18147025,612678752.8097465,364990180.0577504,83872439.01996511
9,472385530.6394758,3986198424.311762,119450951.08255832,714791878.2780378,425821876.73404217,83872439.01996511
10,545862770.0949651,4635031963.587589,138171869.39122537,816905003.7463287,486653573.4103339,83872439.01996511
11,618690779.942456,5248343780.847138,156652392.1831638,919018129.2146199,547485270.0866256,83872439.01996511
12,689871468.6724212,5886638605.349926,174895824.644718,1021131254.6829112,608316966.7629173,83872439.01996511
13,761892637.8932422,6510840115.788235,194219767.69447115,1123244380.1512022,669148663.439209,83872439.01996511
14,833016307.329867,7138015876.335661,213529931.91425967,1225357505.619493,729980360.1155008,83872439.01996511
15,904012516.6612575,7744824724.053896,232557171.89191923,1225357505.619493,729980360.1155008,83872439.01996511
16,973519078.084013,8362209868.046347,251957250.24203998,1225357505.619493,729980360.1155008,83872439.01996511
17,1041417329.3323306,8990661138.05371,271853677.4729818,1225357505.619493,729980360.1155008,83872439.01996511
18,1114473258.718471,9620330764.232868,290528040.7718221,1225357505.619493,729980360.1155008,83872439.01996511
19,1187349512.3572674,10239252076.823816,308770742.5789262,1225357505.619493,729980360.1155008,83872439.01996511
20,1260159886.7548695,10881075159.060278,328080164.56281096,1225357505.619493,729980360.1155008,83872439.01996511
21,1331802034.8743725,11508089939.434406,347213511.5249796,1225357505.619493,729980360.1155008,83872439.01996511
22,1402733674.235693,12129640625.232151,366213163.17137074,1225357505.619493,729980360.1155008,83872439.01996511
23,1475452711.292549,12755307301.125536,385556173.8490579,1225357505.619493,729980360.1155008,83872439.01996511
24,1546978235.6847396,13377700836.086891,404507594.80332977,1225357505.619493,729980360.1155008,83872439.01996511
25,1616035589.3064523,14017617910.775215,423802479.88780797,1225357505.619493,729980360.1155008,83872439.01996511
26,1688234954.2303748,14648431362.508736,442589170.8948629,1225357505.619493,729980360.1155008,83872439.01996511
