region,indoor_vital_ecadr_l_per_s,indoor_essential_ecadr_l_per_s
Australia and New Zealand,357853744.5191446,792726384.4521829
Caribbean,3555735446.053603,5057562000.436269
Central America,1540566968.861853,3958397934.344349
Central Asia,211079747.72569808,407239881.61674976
Eastern Africa,4676985391.8961735,7533438129.433404
Eastern Asia,21077460559.367905,34767470482.17447
Eastern Europe,2594305697.2698345,5042075289.419201
Melanesia,118564174.9493214,227231083.09154832
Micronesia,2213304.6920872205,4815236.053794255
Middle Africa,3942864816.6272616,7076928778.248053
Northern Africa,1601607676.7502747,3107362818.436864
Northern America,5256450238.783896,10952131236.450523
Northern Europe,1301554312.3250291,2982026856.808433
Polynesia,3042071.6129208324,6200534.393435756
South America,3637119115.076323,8424638564.028414
South-eastern Asia,8957451461.890001,17771980543.54639
Southern Africa,353839496.45594656,806642421.5241812
Southern Asia,23462537005.992508,35816052516.02244
Southern Europe,1098709841.6912215,2481847794.6806865
Western Africa,4573036700.222544,8847114862.564789
Western Asia,1836855951.3378737,3959127039.0838866
Western Europe,1708137204.5529225,3505889538.7967057
Global,91867970928.65436,163528899925.60675
