week,pac,cr_box,baghouse,repurposed_pac,repurposed_cr_box,repurposed_baghouse
1,0.0,0.0,0.0,0.0,0.0,0.0
2,30580008.92929084,163415761.49249578,4877530.848548958,0.0,0.0,0.0
3,163449832.38451242,879262565.043889,26174070.735817984,157823104.82124072,60831696.676291734,20968109.754991278
4,306646378.24280375,1656355037.420171,48866893.81651923,315646209.64248145,121663393.35258347,41936219.509982556
5,369719553.02992564,2005009802.267307,59030876.3354809,473469314.46372217,182495090.0288752,62904329.26497384
6,443113242.7462096,2413752527.6872396,71467899.19474214,631292419.2849629,243326786.70516694,83872439.01996511
7,525484585.3035904,2876777452.286132,85313315.32992008,789115524.1062037,304158483.38145864,83872439.01996511
8,621849811.3304175,3398160620.798921,101111156.18147025,946938628.9274443,364990180.0577504,83872439.01996511
9,726278603.7154415,3953242591.420225,119450951.08255832,1104761733.7486854,425821876.73404217,83872439.01996511
10,846471198.1805916,4597985663.763792,138171869.39122537,1262584838.5699258,486653573.4103339,83872439.01996511
11,970276821.1999295,5236470155.160067,156652392.1831638,1420407943.3911664,547485270.0866256,83872439.01996511
12,1087177103.136862,5873656610.693066,174895824.644718,1578231048.2124074,608316966.7629173,83872439.01996511
13,1201101696.1264067,6525594649.438005,194219767.69447115,1736054153.0336478,669148663.439209,83872439.01996511
14,1319226896.2854655,7177699913.228967,213529931.91425967,1893877257.8548887,729980360.1155008,83872439.01996511
15,1438093268.3550797,7832597774.402742,232557171.89191923,1893877257.8548887,729980360.1155008,83872439.01996511
16,1558753462.8993306,8489833560.52235,251957250.24203998,1893877257.8548887,729980360.1155008,83872439.01996511
17,1675625417.1618104,9106899164.23983,271853677.4729818,1893877257.8548887,729980360.1155008,83872439.01996511
18,1787536013.3967214,9760663382.68494,290528040.7718221,1893877257.8548887,729980360.1155008,83872439.01996511
19,1904200964.4176073,10417662856.93334,308770742.5789262,1893877257.8548887,729980360.1155008,83872439.01996511
20,2020087711.7850804,11050707799.25873,328080164.56281096,1893877257.8548887,729980360.1155008,83872439.01996511
21,2136889614.4897954,11689969935.880875,347213511.5249796,1893877257.8548887,729980360.1155008,83872439.01996511
22,2252889328.555781,12330135503.737915,366213163.17137074,1893877257.8548887,729980360.1155008,83872439.01996511
23,2366661535.015664,12967062034.658287,385556173.8490579,1893877257.8548887,729980360.1155008,83872439.01996511
24,2480020558.3588734,13607880506.250118,404507594.80332977,1893877257.8548887,729980360.1155008,83872439.01996511
25,2593379581.7020826,14238026657.467216,423802479.88780797,1893877257.8548887,729980360.1155008,83872439.01996511
26,2706738605.0452914,14868172808.684317,442589170.8948629,1893877257.8548887,729980360.1155008,83872439.01996511
